|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|       MIRA |    00:00:00 |   -89:00:00 |    99 |    1x600 |  1.0 |   600.0 | 2023-04-16 10:21:00.000 |
|    Feige34 | 10:39:36.74 | +43:06:09.3 |  11.3 |     2x60 |  2.0 |    60.0 | 2023-04-16 10:36:00.000 |
|    2022xxf | 11:30:05.89 | +09:16:57.3 | 18-19 |    1x600 |  1.0 |   600.0 | 2023-04-16 10:46:15.000 |
|    2021krf | 12:51:17.44 | +00:31:14.5 |  21.5 |   3x1200 |  3.0 |  1200.0 | 2023-04-16 11:01:15.000 |
|    2022hrs | 12:43:34.35 | +11:34:36.0 |    20 |   1x1200 |  1.0 |  1200.0 | 2023-04-16 12:12:45.000 |
|   2021ahpl | 15:15:57.94 | -19:17:32.0 |    21 |   3x1200 |  3.0 |  1200.0 | 2023-04-16 12:37:45.000 |
|   2022aaiq | 14:26:32.03 | +56:35:03.2 |    20 |    2x675 |  2.0 |   675.0 | 2023-04-16 13:49:15.000 |
|    2022mma | 14:39:01.50 | +15:59:11.8 | 18-19 |    1x600 |  1.0 |   600.0 | 2023-04-16 14:20:00.000 |
|   BD262606 | 14:49:02.35 | +25:42:09.1 |   9.7 |     1x60 |  1.0 |    60.0 | 2023-04-16 14:35:00.000 |
| GRB221009A | 19:13:03.85 | +19:46:22.7 |    24 |     1x60 |  1.0 |    60.0 | 2023-04-16 14:41:00.000 |
|        end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2023-04-16 14:47:00.000 |
