G191B2B | 05:05:30.60 | +52:49:54.0 | 11.9 | 1x60 | 1.0 | 60.0 | 2021-01-16 05:07:44.558 | 
2019iex | 23:51:03.61 | +20:08:43.7 | 22 | 3x1200 | 3.0 | 1200.0 | 2021-01-16 05:13:44.558 | 
2020scb | 00:18:25.63 | +18:30:59.6 | 20.5 | 1x1100 | 1.0 | 1100.0 | 2021-01-16 06:25:14.558 | 
2020qic | 00:15:05.61 | +43:20:35.6 | 21.5 | 1x2000 | 1.0 | 2000.0 | 2021-01-16 06:48:34.558 | 
2019muj | 02:26:18.55 | -09:50:09.0 | 22 | 3x1200 | 3.0 | 1200.0 | 2021-01-16 07:26:54.558 | 
2020ocz | 05:10:44.20 | -31:35:37.6 | 18 | 2x300 | 2.0 | 300.0 | 2021-01-16 08:38:24.558 | 
HD84937 | 09:48:56.09 | +13:44:39.3 | 8.3 | 1x10 | 1.0 | 10.0 | 2021-01-16 08:56:39.558 | 
2020jgl | 09:28:58.43 | -14:48:19.8 | 19.5 | 1x900 | 1.0 | 900.0 | 2021-01-16 09:01:49.558 | 
2019xdf | 09:27:51.81 | +69:24:42.4 | 22.5 | 3x1200 | 3.0 | 1200.0 | 2021-01-16 09:21:49.558 | 
