|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
| Feige110 | 23:19:58.39 | -05:09:55.8 |  11.8 |     1x60 |  1.0 |    60.0 | 2024-10-30 04:50:16.848 |
|  2024ixo | 21:52:30.69 | +02:14:01.2 | 19.83 |    2x600 |  2.0 |   600.0 | 2024-10-30 04:56:16.848 |
|  2024seh | 21:55:50.90 | -03:05:23.2 | 19.64 |    2x600 |  2.0 |   600.0 | 2024-10-30 05:24:31.848 |
|  2023vyl | 23:20:29.66 | +17:13:16.3 |  21.5 |   3x1200 |  3.0 |  1200.0 | 2024-10-30 05:52:46.848 |
|  2024ryv | 00:25:29.99 | +20:14:34.9 | 18.14 |    3x100 |  3.0 |   100.0 | 2024-10-30 07:04:16.848 |
|  2024udy | 02:07:37.98 | +04:11:37.7 |    19 |    1x600 |  1.0 |   600.0 | 2024-10-30 07:20:46.848 |
|  2024wpp | 02:42:05.48 | -16:57:23.0 | 20.12 |   3x1000 |  3.0 |  1000.0 | 2024-10-30 07:35:46.848 |
|  2023rve | 02:46:18.13 | -30:14:22.2 |   >21 |   4x1000 |  4.0 |  1000.0 | 2024-10-30 08:37:16.848 |
| BD174708 | 22:11:31.37 | +18:05:34.2 |   9.2 |     1x10 |  1.0 |    10.0 | 2024-10-30 09:58:41.848 |
|      end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2024-10-30 10:03:51.848 |
