|     name |           ra |          dec |   mag | exposure | nexp | exptime |                   start |
|   buffer |     00:00:00 |   -90:00:00. |    99 |   0x1200 |  0.0 |  1200.0 | 2026-08-23 04:17:45.875 |
| BD284211 | 327d47m45.3s |  28d51m50.4s | 10.50 |    2x140 |  2.0 |   140.0 | 2026-08-23 04:19:30.875 |
|  2026ejy | 16:10:00.306 | +00:42:20.40 |  17.5 |   3x1200 |  3.0 |  1200.0 | 2026-08-23 04:32:25.875 |
|  2026mho | 20:07:38.334 | -21:07:06.15 |  17.5 |   3x1200 |  3.0 |  1200.0 | 2026-08-23 05:43:55.875 |
|  2026oxc | 23:09:30.800 | +32:40:41.79 |  18.5 |   3x1200 |  3.0 |  1200.0 | 2026-08-23 06:55:25.875 |
|  2026obc | 01:07:49.425 | +41:59:43.38 |  18.7 |   8x1200 |  6.0 |  1200.0 | 2026-08-23 08:06:55.875 |
|  2026wpd | 01:28:20.620 | +40:13:26.76 |  17.5 |   4x1200 |  4.0 |  1200.0 | 2026-08-23 10:28:10.875 |
|  Feige11 |    16d05m24s |     4d13m37s |    12 |    2x120 |  2.0 |   120.0 | 2026-08-23 12:02:55.875 |
|      end |     00:00:00 |   -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2026-08-23 12:15:10.875 |
