|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   Feige66 |  12:37:23.6 |   +25:04:00 | 10.4 |     1x30 |  1.0 |    30.0 | 2024-04-30 10:19:00.000 |
|   2023fyq | 12:25:45.87 | +12:39:48.7 |   23 |   4x1200 |  4.0 |  1200.0 | 2024-04-30 10:24:30.000 |
|   2023ijd | 12:36:32.48 | +11:13:19.7 | 20.5 |   1x1200 |  1.0 |  1200.0 | 2024-04-30 11:51:45.000 |
|   2023gfo | 13:09:39.68 | -07:50:11.7 |   20 |    1x900 |  1.0 |   900.0 | 2024-04-30 12:16:45.000 |
|   2023ixf | 14:03:38.56 | +54:18:42.0 |   18 |    1x300 |  1.0 |   300.0 | 2024-04-30 12:36:45.000 |
|   2024ahr | 14:21:59.14 | -12:30:21.0 |   18 |    1x300 |  1.0 |   300.0 | 2024-04-30 12:46:45.000 |
|   2023ldh | 15:09:09.60 | +52:31:59.8 |   22 |   3x1200 |  3.0 |  1200.0 | 2024-04-30 12:56:45.000 |
|   2024amf | 15:34:23.34 | -00:08:08.0 |   18 |    1x300 |  1.0 |   300.0 | 2024-04-30 14:03:15.000 |
|   2024cld | 15:50:21.61 | +18:56:21.1 | 17.5 |    1x200 |  1.0 |   200.0 | 2024-04-30 14:13:15.000 |
|   2024gqd | 17:04:32.42 | +01:20:42.7 |   18 |    1x300 |  1.0 |   300.0 | 2024-04-30 14:21:35.000 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |     1x60 |  1.0 |    60.0 | 2024-04-30 14:31:35.000 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-04-30 14:37:35.000 |
