|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|  G191B2B | 05:05:30.60 | +52:49:54.0 | 11.8 |    1x240 |  1.0 |   240.0 | 2024-03-20 03:30:00.000 |
|  HD84937 | 09:48:56.09 | +13:44:39.3 |  8.3 |     1x60 |  1.0 |    60.0 | 2024-03-20 03:39:00.000 |
| 2023aaby | 08:40:45.31 | -04:07:01.2 | 15.8 |    2x900 |  2.0 |   900.0 | 2024-03-20 03:45:00.000 |
|  2023vbg | 07:43:43.78 | +34:22:30.1 | 17.6 |   2x1200 |  2.0 |  1200.0 | 2024-03-20 04:23:15.000 |
|  2023plg | 07:17:03.16 | +24:57:31.7 | 18.3 |   3x1200 |  3.0 |  1200.0 | 2024-03-20 05:11:30.000 |
|  2023tpl | 07:08:41.68 | +54:46:35.1 | 18.3 |   3x1200 |  3.0 |  1200.0 | 2024-03-20 06:23:00.000 |
|  2024bch | 10:21:50.20 | +56:55:36.1 | 14.8 |    2x600 |  2.0 |   600.0 | 2024-03-20 07:34:30.000 |
|  2024ehs | 10:53:00.52 | +17:34:21.5 | 16.7 |    2x900 |  2.0 |   900.0 | 2024-03-20 08:02:45.000 |
|  2023wrk | 11:28:39.17 | +58:33:12.7 | 17.7 |   2x1200 |  2.0 |  1200.0 | 2024-03-20 08:41:00.000 |
|   2024gy | 12:15:51.31 | +13:06:56.1 | 14.8 |    2x600 |  2.0 |   600.0 | 2024-03-20 09:29:15.000 |
|  2024drv | 13:38:27.85 | +33:06:55.7 | 15.3 |    2x900 |  2.0 |   900.0 | 2024-03-20 09:57:30.000 |
|  2024btj | 11:39:14.44 | +56:15:38.6 | 17.3 |    2x900 |  2.0 |   900.0 | 2024-03-20 10:35:45.000 |
|  2023ixf | 14:03:38.56 | +54:18:42.0 |   17 |    2x900 |  2.0 |   900.0 | 2024-03-20 11:14:00.000 |
|  2024cld | 15:50:21.61 | +18:56:21.1 | 15.8 |    2x900 |  2.0 |   900.0 | 2024-03-20 11:52:15.000 |
| BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2024-03-20 12:30:30.000 |
|     HZ44 | 13:23:35.26 | +36:07:59.5 | 11.7 |    1x240 |  1.0 |   240.0 | 2024-03-20 12:37:45.000 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-03-20 12:46:45.000 |
