|    name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
| HD19445 | 03:08:25.86 | +26:20:05.7 |   7.8 |     1x10 |  1.0 |    10.0 | 2019-10-22 10:07:00.000 |
| 2019rwd | 00:10:45.89 | +21:08:20.8 |    19 |    2x600 |  2.0 |   600.0 | 2019-10-22 10:12:10.000 |
| 2019jyw | 01:06:30.21 | -02:11:56.3 | 18-19 |    2x450 |  2.0 |   450.0 | 2019-10-22 10:39:17.000 |
| 2019muj | 02:26:18.55 | -09:50:09.0 | 19-20 |    2x900 |  2.0 |   900.0 | 2019-10-22 11:01:24.000 |
| 2018hle | 03:39:28.10 | -13:07:01.9 | 22-23 |   3x1200 |  3.0 |  1200.0 | 2019-10-22 11:38:31.000 |
|  2018zd | 06:18:03.18 | +78:22:00.9 |    23 |   4x1200 |  4.0 |  1200.0 | 2019-10-22 12:47:45.000 |
| 2018hmx | 08:33:39.34 | +55:35:53.0 |    22 |   3x1200 |  3.0 |  1200.0 | 2019-10-22 14:19:06.000 |
| G191B2B | 05:05:30.60 | +52:49:54.0 |  11.9 |     1x60 |  1.0 |    60.0 | 2019-10-22 15:28:20.000 |
