|     name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|  HD19445 | 03:08:25.86 | +26:20:05.7 |   8.1 |     1x40 |  1.0 |    40.0 | 2025-02-17 03:00:00.251 |
|  2025brs | 06:18:59.11 | -24:37:39.0 | 18.10 |   5x1200 |  5.0 |  1200.0 | 2025-02-17 03:05:40.251 |
|   2025oq | 06:54:33.77 | +50:21:00.8 | 18.73 |   6x1200 |  6.0 |  1200.0 | 2025-02-17 05:03:40.251 |
|   2025gj | 09:44:20.27 | -21:16:22.3 | 14.90 |    2x900 |  2.0 |   900.0 | 2025-02-17 07:24:55.251 |
|  2025abq | 14:22:17.94 | +50:30:29.7 | 17.52 |   6x1200 |  6.0 |  1200.0 | 2025-02-17 08:03:10.251 |
|  2025adj | 14:59:44.47 | +51:27:47.0 | 16.40 |   4x1200 |  4.0 |  1200.0 | 2025-02-17 10:24:25.251 |
| 2024adxu | 14:41:05.35 | -17:28:37.3 | 16.35 |   4x1200 |  4.0 |  1200.0 | 2025-02-17 11:59:10.251 |
|     HZ44 | 13:23:35.26 | +36:07:59.5 |  11.7 |    1x240 |  1.0 |   240.0 | 2025-02-17 13:33:55.251 |
|      end |    00:00:00 |  -90:00:00. |    99 |      1x1 |  1.0 |     1.0 | 2025-02-17 13:42:55.251 |
