|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2026-04-12 03:53:13.727 |
|  Feige34 | 10:39:36.74 | +43:06:09.3 | 11.2 |    1x180 |  1.0 |   180.0 | 2026-04-12 03:54:58.727 |
| 2025advo | 08:17:39.89 | +04:36:53.1 | 17.4 |   5x1200 |  5.0 |  1200.0 | 2026-04-12 04:02:58.727 |
|  2026gzx | 11:53:56.93 | -23:09:45.5 | 14.9 |    4x900 |  4.0 |   900.0 | 2026-04-12 06:00:58.727 |
|  2026fvx | 12:14:58.06 | +63:47:16.0 | 13.1 |    4x600 |  4.0 |   600.0 | 2026-04-12 07:15:43.727 |
|  2026fjc | 13:00:43.07 | +37:18:36.1 | 15.5 |    6x900 |  6.0 |   900.0 | 2026-04-12 08:10:28.727 |
|  2026ejy | 16:10:00.31 | +00:42:20.4 | 17.0 |   5x1200 |  5.0 |  1200.0 | 2026-04-12 10:01:43.727 |
| BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2026-04-12 11:59:43.727 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2026-04-12 12:06:58.727 |
