|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|    buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2026-08-03 04:35:06.833 |
| BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.8 |    1x180 |  1.0 |   180.0 | 2026-08-03 04:36:51.833 |
|    galaxy | 14:27:57.12 | +56:59:14.8 | 16.0 |    4x500 |  4.0 |   500.0 | 2026-08-03 04:44:51.833 |
|   2026ejy | 16:10:00.31 | +00:42:20.4 | 17.0 |    6x800 |  6.0 |   800.0 | 2026-08-03 05:32:56.833 |
|   2026mho | 20:07:38.33 | -21:07:06.1 | 16.7 |    6x800 |  6.0 |   800.0 | 2026-08-03 07:14:11.833 |
|   2026obc | 01:07:49.42 | +41:59:43.4 | 18.7 |   7x1200 |  7.0 |  1200.0 | 2026-08-03 08:55:26.833 |
|  Feige110 | 23:19:58.00 | -05:09:55.8 | 11.8 |    1x240 |  1.0 |   240.0 | 2026-08-03 11:39:56.833 |
|       end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2026-08-03 11:48:56.833 |
