|    name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
| 2023nlk | 17:20:53.29 | +22:12:35.3 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 10:28:00.000 |
| 2023ucy | 19:01:41.99 | +40:45:05.9 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 11:06:15.000 |
| 2023xbg | 20:45:47.39 | -29:31:09.7 | 20.5 |    2x900 |  2.0 |   900.0 | 2024-07-31 11:44:30.000 |
| 2023gft | 21:26:01.32 | -03:47:53.6 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 12:22:45.000 |
| 2023yoo | 22:01:03.14 | -13:16:29.0 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 13:01:00.000 |
| 2023ngy | 22:18:30.18 | +29:14:41.1 |   22 |    3x900 |  3.0 |   900.0 | 2024-07-31 13:39:15.000 |
| 2023ref | 22:30:41.08 | +39:17:30.2 |   22 |    3x900 |  3.0 |   900.0 | 2024-07-31 14:35:45.000 |
| 2023pfz | 02:25:05.90 | +22:13:22.4 | 21.5 |    3x900 |  3.0 |   900.0 | 2024-07-31 15:32:15.000 |
|  2024fa | 02:25:01.37 | -24:47:12.6 |   20 |    2x900 |  2.0 |   900.0 | 2024-07-31 16:28:45.000 |
| 2024dco | 03:04:19.54 | -11:54:13.6 |   21 |    2x900 |  2.0 |   900.0 | 2024-07-31 17:07:00.000 |
| 2023rbk | 03:15:20.60 | +41:36:53.6 |   22 |    3x900 |  3.0 |   900.0 | 2024-07-31 17:45:15.000 |
|     end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2024-07-31 18:41:45.000 |
