|      name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|     start |    00:00:00 | -90:00:00.0 |   99 |    8x300 |  8.0 |   300.0 | 2025-08-08 04:55:00.000 |
|   2025ngs | 15:35:16.68 | +30:51:55.5 | 16.0 |   14x200 | 14.0 |   200.0 | 2025-08-08 05:45:15.000 |
|  HIP79332 | 16:11:28.74 | +16:39:56.5 | 6.03 |     8x10 |  8.0 |    10.0 | 2025-08-08 06:46:40.000 |
|  HIP75230 | 15:22:23.23 | +12:34:03.1 | 6.25 |      8x1 |  8.0 |     1.0 | 2025-08-08 06:58:15.000 |
|   2025fvw | 15:35:25.76 | +12:03:28.3 | 18.0 |   16x120 | 16.0 |   120.0 | 2025-08-08 07:08:38.000 |
|  HIP91315 | 18:37:33.52 | +62:31:35.7 |  5.7 |     8x10 |  8.0 |    10.0 | 2025-08-08 07:56:53.000 |
|   2025qtt | 19:31:06.01 | +54:06:03.7 | 16.5 |   12x300 | 12.0 |   300.0 | 2025-08-08 08:08:28.000 |
|  HIP98953 | 20:05:26.34 | -12:39:54.6 |  6.3 |     8x10 |  8.0 |    10.0 | 2025-08-08 09:21:43.000 |
|   2025qpk | 20:44:37.56 | -01:43:12.6 | 15.5 |   12x200 | 12.0 |   200.0 | 2025-08-08 09:33:18.000 |
| HIP109079 | 22:05:50.45 | +45:06:45.0 |  6.6 |     8x10 |  8.0 |    10.0 | 2025-08-08 10:26:33.000 |
|   2025rbs | 22:37:03.66 | +34:25:08.0 | 13.0 |   10x200 | 10.0 |   200.0 | 2025-08-08 10:38:08.000 |
|       end |    00:00:00 | -90:00:00.0 |   99 |      1x1 |  1.0 |     1.0 | 2025-08-08 11:23:13.000 |
