|     name |          ra |         dec |     mag | exposure | nexp | exptime |                   start |
| BD284211 | 21:51:11.07 | +28:51:51.8 |    10.7 |     1x10 |  1.0 |    10.0 | 2019-09-23 05:18:23.156 |
|  2019cvz | 16:30:54.00 | +46:35:18.2 | 19.5-20 |    2x900 |  2.0 |   900.0 | 2019-09-23 05:23:33.156 |
|  2019cbc | 18:06:09.17 | +65:20:46.9 |      22 |   3x1200 |  3.0 |  1200.0 | 2019-09-23 06:00:40.156 |
|  2019cmv | 18:57:52.99 | +45:35:24.0 |      20 |    2x900 |  2.0 |   900.0 | 2019-09-23 07:09:54.156 |
|  2019kbj | 22:11:21.93 | +19:37:03.5 |      21 |   2x1200 |  2.0 |  1200.0 | 2019-09-23 07:47:01.156 |
|  2018ilu | 23:33:20.98 | +04:48:34.7 |    22.2 |   2x1200 |  2.0 |  1200.0 | 2019-09-23 08:34:08.156 |
|  2017gmr | 02:35:30.15 | -09:21:15.0 |      21 |   2x1200 |  2.0 |  1200.0 | 2019-09-23 09:21:15.156 |
|      end | 02:35:30.15 | -09:21:15.0 |      21 |      1x1 |  1.0 |     1.0 | 2019-09-23 10:08:22.156 |
