|     name |            ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |      00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2026-01-08 02:34:06.618 |
|  HD19445 |   47d06m27.9s | 26d20m05.7s | 8.0  |    1x40  |  1.0 |   40.0  | 2026-01-08 02:35:51.618 |
| 2025abov |   03:06:55.62 | -11:58:55.8 | 17.5 |   5x1200 |  5.0 |  1200.0 | 2026-01-08 02:43:51.618 |
| 2025aarn |   04:37:19.58 | -08:46:35.9 | 19.0 |   6x1200 |  6.0 |  1200.0 | 2026-01-08 04:41:51.618 |
|  2025pht |   04:41:28.87 | -02:51:55.8 | 18.0 |   5x1200 |  5.0 |  1200.0 | 2026-01-08 07:03:06.618 |
|  2024qiw |   04:52:54.70 | -05:32:04.1 | 15.0 |    3x600 |  3.0 |   600.0 | 2026-01-08 09:01:06.618 |
| 2025advo |   08:17:39.89 | +04:36:53.1 | 15.8 |   2x1200 |  2.0 |  1200.0 | 2026-01-08 09:42:36.618 |
| 2025aico |   11:29:16.36 | +20:35:08.4 | 16.1 |   2x1200 |  2.0 |  1200.0 | 2026-01-08 10:30:51.618 |
|  2025mvn |   13:13:27.88 | +36:35:11.7 | 19.0 |   6x1200 |  6.0 |  1200.0 | 2026-01-08 11:19:06.618 |
| BD262606 | 222d15m35.25s | 25d42m09.1s | 9.73 |    1x140 |  1.0 |   140.0 | 2026-01-08 13:40:21.618 |
|      end |      00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2026-01-08 13:46:01.618 |
