|       name |          ra |         dec |   mag | exposure | nexp | exptime |                   start |
|     2018zd | 06:18:03.18 | +78:22:00.9 |    19 |    1x600 |  1.0 |   600.0 | 2019-02-05 10:36:00.000 |
|    HD84937 | 09:48:56.09 | +13:44:39.3 |   8.3 |     1x10 |  1.0 |    10.0 | 2019-02-05 10:51:00.000 |
| placeholde | 00:00:00.00 |  00:00:00.0 |    99 |   1x3600 |  1.0 |  3600.0 | 2019-02-05 10:56:10.000 |
|   sn2018gv | 08:05:34.61 | -11:26:16.3 |  21.5 |   1x1200 |  1.0 |  1200.0 | 2019-02-05 12:01:10.000 |
|    2018aoz | 11:51:01.79 | -28:44:38.4 |    20 |    1x900 |  1.0 |   900.0 | 2019-02-05 12:26:10.000 |
|    2017ivh | 13:39:36.25 | -11:28:55.9 | 20-21 |   1x1200 |  1.0 |  1200.0 | 2019-02-05 12:46:10.000 |
|    2018atq | 11:47:04.12 | +19:33:02.8 |    20 |   1x1200 |  1.0 |  1200.0 | 2019-02-05 13:11:10.000 |
|     2018is | 13:16:57.35 | -16:37:04.4 |    22 |   4x1200 |  4.0 |  1200.0 | 2019-02-05 13:36:10.000 |
|    2018gep | 16:43:48.20 | +41:02:43.3 | 19.75 |    1x900 |  1.0 |   900.0 | 2019-02-05 15:07:31.000 |
|  BD33d2642 | 15:51:59.86 | +32:56:54.8 | 10.81 |     1x30 |  1.0 |    30.0 | 2019-02-05 15:27:31.000 |
|    Feige34 | 10:39:36.74 | +43:06:09.3 |  11.3 |     1x60 |  1.0 |    60.0 | 2019-02-05 15:33:01.000 |
