|     name |          ra |          dec |  mag | exposure | nexp | exptime |                   start |
|    start |    00:00:00 |  -90:00:00.0 |   99 |   1x3600 |  1.0 |  3600.0 | 2026-06-15 04:50:00.000 |
|  2026kie | 10:52:36.53 |  +22:55:54.2 | 15.5 |   10x200 | 10.0 |   200.0 | 2026-06-15 05:55:00.000 |
| HIP55627 | 11:23:46.47 |  +34:14:33.8 |  9.2 |     8x30 |  8.0 |    30.0 | 2026-06-15 06:40:05.000 |
|  2026ewa | 13:11:03.46 |  +49:06:32.3 | 17.0 |   12x120 | 12.0 |   120.0 | 2026-06-15 06:54:20.000 |
| HIP65280 | 13:22:45.12 |  +44:42:53.9 |  8.4 |      8x3 |  8.0 |     3.0 | 2026-06-15 07:31:35.000 |
|  2026ejy | 16:10:00.31 | +00:42:20.40 | 16.0 |   12x200 | 12.0 |   200.0 | 2026-06-15 07:42:14.000 |
| HIP78436 | 16:00:47.63 | -08:24:40.89 |  5.3 |      8x5 |  8.0 |     5.0 | 2026-06-15 08:35:29.000 |
|      end |    00:00:00 |  -90:00:00.0 |   99 |      1x1 |  1.0 |     1.0 | 2026-06-15 08:46:24.000 |
