|     name |          ra |         dec |  mag | exposure | nexp | exptime |                   start |
|   buffer |    00:00:00 |  -90:00:00. |   99 |   0x1200 |  0.0 |  1200.0 | 2026-03-01 03:11:14.898 |
|  G191B2B | 05:05:30.62 | +52:49:54.0 | 11.8 |    1x240 |  1.0 |   240.0 | 2026-03-01 03:12:59.898 |
|  2025pht | 04:41:28.87 | -02:51:55.8 | 18.6 |   6x1200 |  6.0 |  1200.0 | 2026-03-01 03:21:59.898 |
| 2025advo | 08:17:39.89 | +04:36:53.1 | 16.8 |   5x1200 |  5.0 |  1200.0 | 2026-03-01 05:43:14.898 |
| 2025aico | 11:29:16.36 | +20:35:08.4 | 17.2 |   5x1200 |  5.0 |  1200.0 | 2026-03-01 07:41:14.898 |
|  2026ejy | 16:10:00.31 | +00:42:20.4 | 17.0 |   5x1200 |  5.0 |  1200.0 | 2026-03-01 09:39:14.898 |
|  2026acd | 12:12:12.75 | +13:13:18.4 | 15.2 |    6x900 |  6.0 |   900.0 | 2026-03-01 11:37:14.898 |
| BD262606 | 14:49:02.35 | +25:42:09.1 |  9.7 |    1x135 |  1.0 |   135.0 | 2026-03-01 13:28:29.898 |
|      end |    00:00:00 |  -90:00:00. |   99 |      1x1 |  1.0 |     1.0 | 2026-03-01 13:35:44.898 |
